IDENTIFIER,SCORE
OrigLine,N2
OrignCurr,N2
OrigObjTyp,N2
OrigPrice,N2
OrigRate,N2
OrigRegCry,N2
OrigRow,N2
OrigSOINum,N3
OrigTable,N2
OrigTrnsId,N3
OrigTrnsLn,N3
OrigType,N2
OrigWhs,N3
OrigWizId,N2
OriNTSAppr,N3
OriPymCode,N2
OriPymMeth,N3
OriPymType,N2
OriRegCry,N3
OriRegSta,N3
OriTaxInvN,N3
OrlCode,N3
OrlDesc,N3
Orth2MidgPct,N3
Orth2MidgPctScP,N3
ORW_ID,N3
OSTEOCOND,N2
OSvcCode,N3
oth_feature_1,N2
oth_feature_2,N2
oth_feature_3,N2
OthAmntDue,N2
OthAmntPd,N2
OthCntrbts,N2
other_account_details,N1
other_address_details,N1
other_asset_details,N1
other_card_details,N1
other_characteristic_details,N1
other_company_details,N1
other_contract_details,N1
other_customer_details,N1
other_details,N1
Other_Disturbance,N1
other_fault_details,N1
other_hotel_details,N1
Other_Item_Details,N1
other_log_details,N1
Other_Order_Details,N1
other_order_item_details,N1
other_part_details,N1
other_problem_details,N1
other_product_details,N1
Other_Product_Service_Details,N1
other_property_details,N1
other_route_details,N1
other_shipment_details,N1
other_staff_details,N1
other_student_details,N1
other_transaction_details,N1
other_visit_details,N1
OtherBatteryInfo,N1
OtherBusInfo,N1
OtherCred,N2
OtherEngineInfo,N1
OtherExAm,N2
OtherExp,N2
OtherInAm,N2
OtherInc,N2
OtherMotorcycleInfo,N1
OtherRestraintSystemInfo,N1
Others,N1
OtherTax,N1
OthExpAcct,N2
OthIncAcct,N2
OtrCtlAcct,N2
OurNum,N2
OurNumChk,N2
OutBnkKey,N2
outcome_code,N1
outcome_description,N1
outcome_details,N1
OutCSTCode,N2
OutDesc,N2
OuterJoin,N1
OutgoType,N2
OutOfOffic,N2
OutParamID,N2
OutPath,N1
OutputPar,N2
OutQty,N2
OutSeri,N2
OutStock,N1
overall_rating,N1
OverCode,N1
OverCode2,N1
OverCode3,N1
OverCode4,N1
OverCode5,N1
Overdue,N1
OVERHANG_FRT,N2
OVERHANG_REAR,N1
OverlapQty,N2
OverpayAP,N2
OverpayAR,N2
Override,N1
Overstory_ID,N1
OverType,N1
OVERUNDER,N1
OverwrFinS,N2
OvpCus,N3
OvrDueOnly,N2
Ovrwrite1,N2
Ovrwrite2,N2
Ovrwritten,N2
OvrWrtDll,N3
OwnAbsEnt,N2
Owner,N1
owner_id,N1
OwnerCode,N1
OwnerCtrl,N2
OwnerEmp,N2
OwnerField,N1
OwnerID,N1
OwnerIdNum,N2
OwnerName,N1
OwnerPhone,N1
Ownership,N1
OwnerShpBy,N2
OwnerUser,N1
OwnLine,N1
OwnObjTyp,N2
Oxen,N2
P_DlvrNots,N3
P_Invoices,N2
P_Orders,N2
P_Quotatio,N2
P1,N3
P10,N3
P2,N3
P3,N3
P4,N3
P5,N3
P6,N3
P7,N3
P8,N3
P9,N3
PAAcc,N3
PAC,N3
PacCode,N2
PackagCode,N1
Package_Option,N1
Package_Version,N1
PackageNum,N1
PackageTyp,N1
PackagName,N1
PackagType,N1
PackDesc,N2
PackEntry,N1
PackQty,N2
PACName,N2
PACPasswrd,N2
PACSATCert,N3
PACUsrName,N2
PageBlob,N1
PageBreak,N1
PageEntry,N1
PageNumber,N1
Pager,N1
pages_per_minute_color,N1
Paid,N1
PaidAmnt,N2
PaidByComp,N2
PaidDct,N2
PaidDctFc,N3
PaidDctSc,N3
PaidDpm,N3
PaidDpmF,N3
PaidDpmFc,N3
PaidDpmS,N3
PaidDpmSc,N3
PaidEntry,N1
PaidEq,N2
PaidEqFc,N3
PaidEqSc,N3
PaidFC,N3
PaidFrgn,N2
PaidGrs,N2
PaidGrsFc,N3
PaidGrsSc,N3
PaidLine,N1
PaidNet,N2
PaidNetFc,N2
PaidNetSc,N2
PaidRvs,N2
PaidRvsFc,N3
PaidRvsSc,N2
PaidSc,N2
PaidSum,N1
PaidSumFc,N2
PaidSumSc,N2
PaidSys,N2
PaidToDate,N1
PaidVat,N2
PaidVatFc,N2
PaidVatSc,N2
PANAVer,N3
PanCirNo,N2
PanelID,N1
PanNCRate,N2
PanNo,N2
PanOfficer,N2
PanWardNo,N2
PAOffAcc,N2
PaOffsetAc,N2
PAOffVal,N2
paperID,N1
PaperSize,N1
PaPriority,N2
Parag44,N3
Paragraph_ID,N1
Paragraph_Text,N1
PARAIRBAG,N2
PARALCOHOL,N2
Parallel_Bars_Points,N1
Param,N2
Param_1,N3
Param_10,N3
Param_11,N3
Param_12,N3
Param_13,N3
Param_14,N3
Param_15,N3
Param_16,N3
Param_17,N3
Param_18,N3
Param_19,N3
Param_2,N3
Param_20,N3
Param_21,N3
Param_22,N3
Param_23,N3
Param_24,N3
Param_25,N3
Param_3,N3
Param_4,N3
Param_5,N3
Param_6,N3
Param_7,N3
Param_8,N3
Param_9,N3
ParamCode,N1
ParamData,N2
ParamDetai,N2
Parameter,N1
ParameterName,N1
ParameterValue,N1
ParamInt,N2
ParamKey,N2
ParamLink,N2
ParamList,N2
ParamLogic,N2
ParamLText,N2
ParamMon,N2
ParamName,N2
ParamPAC,N3
ParamPath,N2
ParamPrms,N2
Params,N2
ParamStr,N2
ParamTgl,N2
ParamType,N2
ParamUqc,N2
ParamVal,N2
ParamValue,N2
ParamVisib,N2
PARBELTUSE,N2
PARDRUG,N2
parent,N1
parent_document_structure_code,N1
parent_entry_id,N1
parent_functional_area_code,N1
PARENT_IMP_DESC,N2
PARENT_IMPID,N2
parent_organization_id,N1
parent_product_id,N1
Parent_Service_Type_Code,N1
ParentCode,N1
ParentId,N1
parentType,N1
ParentTypeID,N1
PAReturnAc,N3
PARINJSEV,N3
Park,N1
park_alias,N1
park_id,N1
park_name,N1
ParkAssist,N1
ParkAssistId,N1
ParkCode,N1
PARKNAME,N1
ParkSource,N1
ParkStatus,N1
ParkStatusID,N1
ParkStatusText,N1
PARKTYPE,N1
ParrentDoc,N2
part_fault_id,N1
part_id,N1
part_name,N1
PartDelivr,N2
ParterId,N1
Partial,N1
Participant_Details,N1
Participant_ID,N1
Participant_Type_Code,N1
ParticipID,N1
Particular,N1
partitionid,N1
Partner,N1
PartnerDBV,N2
PartOf,N1
PartRetire,N1
PartSupply,N1
PartTotal,N1
PartType,N1
Party,N1
Party_Details,N1
party_email,N1
Party_ID,N1
Party_name,N1
party_phone,N1
Party_Theme,N1
ParVer,N2
ParVerDesc,N2
ParVerUpd,N2
PassIssue,N1
PassIssuer,N1
passportEx,N2
passportNo,N1
PASSWORD,N1
PASSWORD1,N1
PASSWORD2,N1
PASSWORD3,N1
PASSWORD4,N1
PastRcp,N2
PatchLevel,N1
Path,N1
PATH1,N1
PATH10,N1
PATH2,N1
PATH3,N1
PATH4,N1
PATH5,N1
PATH6,N1
PATH7,N1
PATH8,N1
PATH9,N1
PathLengthKM,N1
Patient,N1
PAutoDueDt,N2
PAVal,N3
Paved,N1
Pay_Day1,N1
Pay_Day2,N1
Pay_Day3,N1
Pay_Day4,N1
Pay_Month1,N1
Pay_Month2,N1
Pay_Month3,N1
Pay_Month4,N1
Pay_per_view_PPV,N1
PayAmntFC,N2
PayAmntSys,N2
PayAmount,N1
PayBankAct,N2
PayBankZip,N1
PayBlckRef,N2
PayBlock,N1
PayBnkBISR,N3
PayBnkBlck,N2
PayBnkBrnc,N2
PayBnkChNo,N2
PayBnkCity,N2
PayBnkCntr,N2
PayBnkCnty,N2
PayBnkCode,N2
PayBnkCtrl,N2
PayBnkHsBk,N3
PayBnkIBAN,N3
PayBnkName,N2
PayBnkPost,N2
PayBnkStat,N2
PayBnkStr,N3
PayBnkSwif,N2
PayBnkUIC,N3
PayBnkUsr1,N2
PayBnkUsr2,N2
PayBnkUsr3,N2
PayBnkUsr4,N2
PayCountry,N1
PayDate,N1
PayDocEntr,N2
PayDocType,N1
PayDueDate,N1
PayDuMonth,N2
Payee,N1
PayeeCity,N1
PayeeName,N1
PayeeState,N1
PayeeStree,N2
PayeeTaxNo,N2
PayeeZip,N1
PayEngSt1,N3
PayEngSt2,N3
PayEngSt3,N3
PayFor,N1
PayId,N1
PayKey,N1
PayLineID,N1
PaymBlock,N2
PaymCreat,N2
PaymDocNum,N2
PaymDocTyp,N2
PaymDraf,N2
PaymenMean,N2
payment_date,N1
Payment_ID,N1
payment_method,N1
payment_method_code,N1
payment_method_description,N1
payment_type_code,N1
Payment1,N1
PaymentMen,N2
PaymentRef,N2
Payments,N1
PaymentWiz,N2
PayMethCod,N2
PayMethod,N1
PaymFormat,N2
PaymMethod,N2
PaymntPlc,N2
PaymntsNum,N2
PaymTerms,N2
PayMth,N2
PaymtMthod,N2
PaymType,N2
PaymWizCod,N2
PayNoBased,N2
PayNoDoc,N2
PayOrderNo,N2
PayOutVat,N2
PayRef,N2
PayRefCalc,N2
PayRefDate,N2
PayRefDtls,N2
PayRefNo,N2
PayRunDate,N1
PayToAct,N2
PayToBank,N1
PayToCntr,N2
PayToCode,N1
PayToCtry,N2
pb,N3
PBED,N3
PBnkAccnt,N3
PBnkBranch,N2
PBnkCnt,N3
PBnkCode,N2
PBSGroupNo,N2
PBSNumber,N2
PCAddition,N2
PcDocType,N2
PchName,N2
PchNoFrom,N2
PchNoTo,N2
PchRpt,N2
Pcn874Ctg,N3
PCN874Rpt,N3
PCN874RTyp,N3
PCODE,N3
PCP,N3
PcQuantity,N2
Pct_Mortality,N2
PDateFrm,N2
PDateTo,N2
PDDEnabled,N3
PDfltITWT,N3
PDfltWT,N3
PDFOnAdd,N2
Pdn,N3
PdnClosed,N2
PdnName,N2
PDOF,N3
PDOP,N3
PDuDtMonth,N3
PECAddr,N3
PedestrianAutoEmergencyBraking,N1
PedestrianAutoEmergencyBrakingID,N1
Peer,N1
PEFilePath,N2
penalties,N1
People_ID,N1
PerAbs,N2
PerAcq,N2
PerBBal,N2
PerBFCBal,N2
PerBQty,N2
PERCENT,N1
Percentage,N1
PercentDec,N2
PercOfAcq,N2
PerDpRev,N3
PerEAmt,N3
PerEBal,N3
PerEFCBal,N3
PerEQty,N2
PerFactor,N2
PERFORMANCE,N1
Performance_ID,N1
Performer_ID,N1
Period,N1
PeriodAbs,N2
PeriodAmt,N2
PeriodCat,N2
PeriodDate,N1
PeriodID,N1
PeriodName,N1
PeriodNum,N1
PeriodSitu,N2
PeriodsLen,N2
PeriodStat,N2
PeriodTyp,N2
PeriodType,N1
permanent_address_id,N1
Permanent_Identifier,N1
PermFolder,N2
PermId,N2
Permission,N1
PermitNo,N2
PermMask,N2
PermOption,N2
Perpetrator_ID,N1
PerRet,N2
PersGroup,N2
Person,N1
person_address_id,N1
person_id,N1
personal,N1
personal_name,N1
PerSubAcq,N2
PerTranSou,N2
PerTranTar,N2
pet_age,N1
PetID,N1
pets_allowed_yn,N1
PetType,N1
PeyMethod,N2
PFromDate,N2
PfsAbs,N3
pH,N2
PHandleWT,N2
Phantom,N1
Phase,N1
PhaseID,N1
PhBudget,N2
Phenology,N1
Phone,N1
Phone_ID,N1
phone_number,N1
Phone1,N1
Phone1F,N2
Phone2,N1
Phone2F,N2
PhoneGIP,N2
Photo_ID,N1
Phylum,N1
PhysicalName,N1
Physician,N1
Pick,N1
PickDate,N1
PickedQty,N2
PickEntry,N1
PickIdNo,N2
PickLimit,N1
PickOty,N2
PickParDlv,N2
PickQtty,N2
PickQty,N1
PickRmrk,N2
PickStatus,N1
PictSize,N2
Picture,N1
PicturName,N1
pid,N3
Pigs,N1
Pilot,N1
Pilot_Id,N1
Pilot_name,N1
PIndicator,N2
Pine_beetle,N1
PInvCode,N2
PInvType,N2
PIPELINETYPE,N1
PISSum,N3
Pixel_aspect_ratio_PAR,N2
Pixels,N1
PK,N3
PKField0,N3
PKField1,N3
PKField2,N3
PKField3,N3
PKField4,N3
PKField5,N3
PKField6,N3
PKField7,N3
PKField8,N3
PKField9,N3
PkgCode,N2
PkgCodeDft,N2
pkgName,N1
pkgPath,N1
PkgType,N2
Pkl2LinNum,N3
PKP,N3
PL_ACCOUNT,N2
PlaAct,N2
PLAAmnt,N3
PLAAmntFC,N3
PLAAmntSC,N3
PLABalance,N2
Place,N1
PLACEMENT,N1
PlaceNameID,N1
PlainsIndex,N1
PlanAmtFC,N2
PlanAmtLC,N2
PlanDate,N1
PlaningSys,N2
PLANNED,N1
Planned_Delivery_Date,N1
Planned_Destruction_Date,N1
PlannedQty,N1
PlanQty,N2
PlantCity,N1
PlantCompanyName,N1
PlantCountry,N1
PlantCountryId,N1
PlanTime,N1
PlantState,N1
Plastron_Length,N1
Plastron_Width,N1
PlAvgSize,N2
Player,N1
player_api_id,N2
player_fifa_api_id,N2
player_id,N1
Player_name,N1
playlist_id,N1
PlaylistId,N1
PLCatId,N2
PlCrdStat,N2
PlecTax,N3
PlecTaxScM,N3
PlngGroup,N2
PlngLevel,N2
Plocation,N2
Plot,N1
Plot_Azimuth,N1
Plot_ID,N1
PLTempId,N2
PlVatAmtFC,N3
PlVatAmtLC,N3
plyr_mgr,N2
PmnDate,N3
PmnDocEntr,N3
PmnDocNum,N2
PmnInvID,N3
PmnNum,N3
PmnObjType,N2
PmnPstDate,N3
PmnRate,N3
PmnTaxDate,N2
PmntDate,N2
PmntEntry,N2
PmntID,N3
PmntNotes,N2
PmntNum,N2
PmntTerms,N2
PmntType,N2
PmntWTCert,N3
PmnValDate,N2
PmptChg,N3
PmtClrAct,N3
Pname,N2
Pno,N3
Pnumber,N2
po,N3
PoAPPayCat,N3
PoARPayCat,N3
PODocAbs,N3
PoDocEntry,N2
PoDocNum,N2
PoDocType,N2
PoDropPrss,N3
PointID,N2
PointNumber,N1
Points,N1
points_max,N1
points_won,N1
PoItmNum,N2
Poker_Player_ID,N1
Police_force,N1
Police_officers,N1
Policy_ID,N1
Policy_Type_Code,N1
POLine,N2
PoLineNum,N2
Poll_Source,N1
Pommel_Horse_Points,N1
PoNum,N2
PONumber,N2
Pool,N1
PoolID,N1
PoPhAmt,N3
PoPrss,N3
Population,N1
PoQuantity,N1
POrCByINC,N3
PorConfrmd,N2
PorName,N2
Porphyria,N1
Port,N1
PortAddr,N2
PortCode,N1
PortEnEx,N2
Portfolio,N1
PortNum,N2
PortState,N1
POS,N2
POSCashN,N2
PosCashReg,N2
PosCode,N1
PosCode347,N2
PosCredVal,N2
PosDesc,N2
POSEqNum,N2
POSEquipNo,N2
POSeries,N2
posID,N2
Position,N1
Position_Title,N1
POSITIONALACCURACY,N1
positioning,N1
positionOrder,N1
positionText,N1
PositMARK,N2
POSManufSN,N2
POSRcptNo,N2
PoSt_ID,N3
Postable,N1
POSTAL_CODE,N1
PostalCode,N1
PostDate,N1
PostDateFr,N2
PostDateTo,N1
PostdChk,N2
PostdCred,N2
PostDiffR,N2
PostDtFrom,N2
PostDtTo,N2
Posted,N1
PostFrDate,N2
PostingAct,N2
PostingTyp,N2
POSTINTEGLOSS,N2
PostInVat,N2
PostOffBnk,N2
PostOffice,N1
PostPeriod,N1
PostPmntWT,N3
PostStatus,N1
PostTask,N1
PostTax,N1
PostToAct,N2
PostToDate,N1
PostToOffA,N2
PostType,N1
POSTURE,N1
PostValueL,N2
PostValueS,N2
potential,N1
PoTrgEntry,N2
PoTrgNum,N2
Powertrain,N1
ppf,N3
pPos,N2
PPWe1Unit,N3
PPWe2Unit,N3
PPWeight1,N3
PPWeight2,N3
PQTGrpHW,N3
PQTGrpNum,N3
PQTGrpSer,N3
PQTReqDate,N3
PQTReqQty,N3
PQTSeries,N3
PRAbsEntry,N2
prblmTypID,N2
PrBrand,N2
PrcAmount,N2
PrcCode,N2
PrchseItem,N2
PrchseRes,N2
PrcName,N2
PrcnProf,N2
prcrmntMtd,N2
PrcstVal,N3
PrctBsAmnt,N3
Prdcity,N2
PrdDate,N2
PrDiffAcct,N2
PrDllVer,N3
PrdNum,N2
PrdStdCst,N3
PrdType,N2
PreAmount,N1
PreAttach,N1
Precipitation,N1
precipitation_inches,N1
PredatorTax,N2
PredatorTaxScP,N2
PredDate,N2
Predeces,N2
PredPctLV,N3
PredPctM,N3
PredPctScLV,N3
PredPctScM,N3
PREEVENT,N2
preferred_foot,N1
preferred_genre,N1
PREFHE,N3
Prefix,N1
PrefState,N2
PrefVendor,N2
PREGNANT,N1
PRELOC,N3
premise_details,N1
premise_id,N1
premises_type,N1
PREMOVE,N2
PreNumber,N1
PrepNurse,N2
PrePRWeb,N2
prereq_id,N1
Pres_Num,N2
Pres_Text,N2
Presence_First,N1
Presence_Second,N1
President_Vote,N1
PRESTAB,N3
PreTask,N1
Pretensioner,N1
PretensionerId,N1
prevActvty,N2
PREVCRASH,N2
previous_entry_id,N1
Previous_Lat,N2
Previous_Long,N2
previous_transaction_id,N1
PrevReleas,N2
PrevYear,N1
PrevYearAc,N2
PrfCntFld,N3
PrfCntOrig,N3
PrfCntVal,N3
PrftCent2,N3
PrftCent3,N3
PrftCent4,N3
PrftCent5,N3
PrftCenter,N3
PrftCntFe2,N3
PrftCntFe3,N3
PrftCntFe4,N3
PrftCntFe5,N3
PrftCntFee,N3
PrFwVer,N3
PriAccCode,N2
PricAtWHFC,N3
PricDifAct,N2
Price,N1
Price_in_Dollar,N1
price_in_dollars,N1
price_in_euros,N1
price_in_pounds,N1
price_range,N1
PriceAftV,N2
PriceAfVAT,N2
PriceAtWH,N2
PriceBefDi,N2
PriceCurr,N2
PriceDec,N2
PriceDifAc,N2
PriceDiff,N2
PriceEdit,N1
PriceFOB,N3
PriceList,N1
PriceMode,N1
PriceProcM,N2
PriceRate,N1
PriceSour,N1
PriceSrc,N2
PriceSys,N2
PriceType,N1
PriceUnit,N1
PriceUpdat,N2
PricingPrc,N2
PriCode,N2
Primary_Conference,N1
PrimaryAffiliation,N1
PrimaryKey,N1
PrimCurr,N2
Principal_activities,N1
principal_id,N1
PrintDate,N1
Printed,N1
PrintedBy,N1
Printer,N1
PrintHdrF,N2
PrintHeadr,N2
PrintId,N1
PrintMeta,N2
PrintOnAdd,N1
PrintPDF,N2
PrintRcpt,N2
PrintRows,N1
PrintSEPA,N3
PrintSums,N1
PrintTime,N1
PrioCode,N2
PrioDesc,N2
PRIORITY,N1
PriorityID,N1
PRIORMAINT,N2
PrivInv,N2
PrivJE,N3
PrjBlock,N2
PrjCode,N2
PrjMngmnt,N3
PrjName,N2
PrjRelvnt,N2
PrjSmarz,N3
PRLineNum,N2
PRLineStat,N2
PrlLinked,N2
PrLosRefF,N3
PrLosTemp,N2
PrLosUdfF,N3
PrModel,N2
Prmry,N2
PrmValAmt,N2
PrmValNum,N2
PrmValStr,N2
PrmValTxt,N2
PrnBy,N3
PrnCompany,N2
PrnConfrm,N2
PrncpInput,N2
PrnDscnt,N2
PrntCutDat,N2
PrntLayout,N2
PrntLnNum,N2
ProAssNum,N2
problem_category_code,N1
problem_category_description,N1
problem_description,N1
problem_id,N1
problem_log_id,N1
problem_status_code,N1
problem_status_description,N1
problemTyp,N2
ProcDefId,N2
Procedures,N1
Process,N1
ProcessDate,N1
ProcessDescription,N1
ProcessID,N1
ProcessOrder,N1
ProcesStat,N2
ProcInsId,N2
ProcInstId,N2
ProcItms,N2
ProcName,N2
ProcSource,N2
ProcTarget,N2
ProdCode,N1
ProdctDate,N2
ProdDescr,N2
ProdName,N2
ProdRes,N2
ProdTree,N2
Product,N1
product_category,N1
product_category_code,N1
product_category_description,N1
product_characteristic_value,N1
product_color,N1
Product_Description,N1
product_details,N1
Product_ID,N1
Product_in_Event_ID,N1
Product_Name,N1
Product_Price,N1
product_quantity,N1
product_size,N1
product_stock_number,N1
product_title,N1
product_type_code,N1
product_type_description,N1
Production_code,N1
production_type_code,N1
ProductSrc,N2
ProdUpgNum,N2
PROF_EXTENSION,N2
PROF_HIGH_DEGREE,N2
PROF_NUM,N2
PROF_OFFICE,N2
Profession,N1
professional_id,N1
PROFILE,N1
ProfitAct,N1
ProfitCode,N1
ProfitLoss,N1
Profits_billion,N1
Profits_in_Billion,N2
Proforma,N1
PROFPHOTO,N2
ProfTax,N2
ProfType,N2
Program_ID,N1
Progressiv,N2
ProjCode,N2
Project,N1
Project_Details,N1
Project_ID,N1
ProjectCod,N2
ProjectID,N1
ProjFee,N2
Prominence,N1
PropDesc,N2
Properties,N1
Property,N1
property_address,N1
property_feature_description,N1
property_id,N1
property_name,N1
property_type_code,N1
property_type_description,N1
PropertyID,N1
PropertyName,N1
PropertyValue,N1
PropID,N2
PropList,N2
PropName,N2
Proportion,N1
ProportionOfSampleUsed,N1
PropType,N2
PropValue,N2
ProrataDed,N2
ProSubTyId,N2
ProSubType,N2
ProtCode,N2
Protected,N1
protein_name,N1
Protocol_Name,N1
ProtocolN,N2
Prototype,N1
Provider,N1
Prq,N3
PrrConfrmd,N3
PrsWkCntEb,N3
PrtCancel,N2
PrtId,N3
Prtr1st,N3
PrtUseSys,N2
PrType,N2
PRUseBPTax,N3
PrvComsnPr,N3
PRWebAccss,N2
PStatAutCh,N3
PStatDelay,N2
PstMethod,N2
PstngType,N2
PstTrans,N3
PSU,N3
PSUSTRAT,N3
PtfCode,N2
PtfDespt,N3
PtfId,N3
PtfNum,N3
PTICode,N2
PTICodeRef,N2
PTIME,N3
PTLedgeGen,N2
PToDate,N2
Pubby,N2
PubDate,N2
Publication_Date,N1
Publication_ID,N1
PublicationDate,N1
PublicComp,N2
PublicKey,N1
PublishedTaxonAuthority,N2
PublishedTaxonLevel,N2
PublishedTaxonName,N2
Publisher,N1
PUoMEntry,N2
PurBalAct,N2
purchase_details,N1
purchase_transaction_id,N1
PurchaseAc,N2
PurchDisc,N2
PurchOAT,N3
PurchOfsAc,N2
PurchOrder,N1
PurchQuota,N2
PurchReq,N2
PurchseAct,N2
PurchTax,N2
PurcVatOff,N2
PurDpmInt,N3
PurFactor1,N2
PurFactor2,N2
PurFactor3,N2
PurFactor4,N2
PurFormula,N2
PurPackMsr,N2
PurPackUn,N2
PurpCode,N2
PurStage,N2
PurTaxCode,N2
PVALUE,N3
PwdExample,N2
PwdExp,N2
PwdMinLen,N2
PwdNeverEx,N2
PWZAbsEntr,N3
PyblAmnt,N3
PyblAmntFC,N3
PyblAmntSC,N3
PyBlckDesc,N3
PyCshDscFC,N3
PYDCode,N3
PymAmnSyst,N3
PymAmnt,N2
PymAmntFC,N3
PymAmntSC,N3
PymAmounF,N3
PymAmounS,N3
PymAmount,N2
PymBCACode,N3
PymBnkAcct,N3
PymBnkBrnc,N3
PymBnkCntr,N3
PymBnkCode,N2
PymBnkIBAN,N3
PymBnkName,N2
PymBnkSwif,N3
PymBnkTrns,N3
PymBnkUsr1,N3
PymBnkUsr2,N3
PymBnkUsr3,N3
PymBnkUsr4,N3
PymCode,N2
PymCshDsct,N3
PymCtrlKey,N2
PymCurr,N2
PymDate,N2
PymDcAmtFC,N3
PymDisc,N2
PymDocAmnt,N2
PymDocCurr,N2
PymDocRate,N2
PymGLAcct,N3
PymIsUpdat,N2
PymKeyCode,N2
PymMean,N2
PymMeth,N2
PymMethNam,N2
PymMethTyp,N2
PymntGroup,N2
PymntRsnCd,N2
PymNum,N2
PymNumfrom,N2
PymNumOfPa,N2
PymNumTo,N2
PymPostDat,N2
PymReason,N2
PymTermPer,N2
PymType,N2
q1,N3
q2,N3
q3,N3
QA_notes,N3
Qauntity,
QCategory,N2
QLastDate,N2
QLastTime,N2
QName,N2
QoP,N3
QRCodeSPGn,N3
QRCodeSrc,N2
QRCorrLvl,N2
QRExpDays,N2
QRExpir,N2
QRMaxSize,N2
QRMinSize,N2
QRScale,N2
QryCode,N2
QryCtgry,N2
QryGroup1,N2
QryGroup10,N2
QryGroup11,N2
QryGroup12,N2
QryGroup13,N2
QryGroup14,N2
QryGroup15,N2
QryGroup16,N2
QryGroup17,N2
QryGroup18,N2
QryGroup19,N2
QryGroup2,N2
QryGroup20,N2
QryGroup21,N2
QryGroup22,N2
QryGroup23,N2
QryGroup24,N2
QryGroup25,N2
QryGroup26,N2
QryGroup27,N2
QryGroup28,N2
QryGroup29,N2
QryGroup3,N2
QryGroup30,N2
QryGroup31,N2
QryGroup32,N2
QryGroup33,N2
QryGroup34,N2
QryGroup35,N2
QryGroup36,N2
QryGroup37,N2
QryGroup38,N2
QryGroup39,N2
QryGroup4,N2
QryGroup40,N2
QryGroup41,N2
QryGroup42,N2
QryGroup43,N2
QryGroup44,N2
QryGroup45,N2
QryGroup46,N2
QryGroup47,N2
QryGroup48,N2
QryGroup49,N2
QryGroup5,N2
QryGroup50,N2
QryGroup51,N2
QryGroup52,N2
QryGroup53,N2
QryGroup54,N2
QryGroup55,N2
QryGroup56,N2
QryGroup57,N2
QryGroup58,N2
QryGroup59,N2
QryGroup6,N2
QryGroup60,N2
QryGroup61,N2
QryGroup62,N2
QryGroup63,N2
QryGroup64,N2
QryGroup7,N2
QryGroup8,N2
QryGroup9,N2
QryName,N2
QString,N2
QtrByMnt,N2
Qty,N2
QtyDec,N2
QtyOnHand,N2
QType,N2
QtyPerPack,N2
QtyToBill,N2
QtyToInv,N2
QtyToShip,N2
QuadName,N2
QualCode,N2
qualification,N1
Qualifier,N1
qualifyId,N1
quality_rank,N1
Quantity,N1
QuantOut,N2
Quarter,N1
QueryCode,N1
QueryCol,N2
QueryDate,N1
QueryDec,N2
QueryDetls,N2
QueryGroup,N1
QueryID,N1
QueryNAme,N1
QueryStr,N2
QueryTime,N1
QueryUrl,N1
Queue,N1
queueID,N1
QuickDisp,N2
QultExpItm,N3
Quotations,N1
r,N3
R1,N3
R2,N3
R349Code,N3
ra,N3
RACE,N1
Race_ID,N1
raceId,N1
RActPrice,N2
RAI_Tolerance_Value,N3
Railway,N1
Railway_ID,N1
Rain,N1
RAM_MiB,N3
Random_Selected,N1
Range,N1
Rank,N1
Rank_in_Round,N1
Rank_in_series,N1
Rank_of_the_Year,N1
RANKING,N1
ranking_date,N1
ranking_points,N1
Rate,N1
RateBase,N1
RateDate,N1
RateDec,N2
RateDifAct,N2
RateDifCFW,N2
RateFC,N2
RateTotal,N1
RateTrans,N2
RateType,N1
Rating,N1
Rating_in_percent,N1
ratingDate,N1
RawMtrl,N2
rbi,N3
RclFlag,N2
RcmCalDate,N2
RcmCalTime,N2
RCMDefWhs,N3
RcmPO,N3
RcmWO,N3
RcmWTRQ,N3
RCNSummary,N2
RcpEntry,N2
RcpntID,N2
RcptDate,N2
RcptLineId,N2
RcptNum,N2
RcrData1,N2
RcrData2,N2
RcrFlag,N2
RcrIntervl,N2
RcrSubType,N3
RcrTrt,N3
RcrType,N2
RctAbs,N3
RctId,N3
RctType,N2
RcurCode,N2
RcurDesc,N2
RDcrmAcct,N3
RDLANES,N3
RdrConfrmd,N2
ReachCode,N1
ReachFileVersion,N1
ReachResolution,N1
ReachSMDate,N2
reactions,N1
Read,N1
RealAcct,N2
RealName,N1
RealProfL,N2
RealProfS,N2
RealSumLoc,N2
RealSumSys,N2
RearAutomaticEmergencyBraking,N1
RearAutomaticEmergencyBrakingID,N1
REARBUMP,N2
RearCrossTrafficAlert,N1
RearCrossTrafficAlertID,N1
Reason,N1
ReasonCode,N1
ReasonDesc,N2
ReasondId,N1
reasonID,N1
ReasonLine,N1
RecAmnt,N2
Recapture,N1
RecBinEnab,N2
RecDate,N2
receipt_date,N1
receipt_number,N1
ReceiptNum,N1
ReceiveBin,N1
Receiver,N1
RecentDay,N1
RECFRONT1,N3
RECFRONT2,N3
RECFRONT3,N3
RECFRPRESS1,N3
RECFRPRESS2,N3
RECFRPRESS3,N3
RecipCode,N1
RecipStatu,N2
RecItemsBy,N2
Recived,N1
RecNum,N2
recommendations,N1
RecomPkg,N2
ReconAfter,N2
Reconciled,N1
ReconcilNu,N2
ReconCurr,N2
ReconDate,N1
ReconJEId,N2
ReconJeSer,N2
ReconNum,N2
ReconRule1,N2
